transaction_id,transaction_date,customer_id,product_id,channel_id,amount,currency,payment_method,status
TXN00000001,2025-11-21 21:36:03,CUST000353,PROD00014,CH005,337.67,USD,Debit Card,completed
TXN00000002,2025-10-04 21:36:03,CUST000350,PROD00046,CH004,111.45,USD,Debit Card,completed
TXN00000003,2025-12-25 21:36:03,CUST000728,PROD00027,CH003,125.43,USD,PayPal,completed
TXN00000004,2025-12-10 21:36:03,CUST000883,PROD00010,CH002,386.65,USD,Bank Transfer,completed
TXN00000005,2025-09-19 21:36:03,CUST000629,PROD00019,CH005,320.07,USD,PayPal,completed
TXN00000006,2025-09-11 21:36:03,CUST000100,PROD00004,CH002,356.63,USD,Bank Transfer,completed
TXN00000007,2025-12-23 21:36:03,CUST000293,PROD00035,CH005,49.4,USD,Credit Card,completed
TXN00000008,2025-08-15 21:36:03,CUST000535,PROD00034,CH003,500.76,USD,Credit Card,cancelled
TXN00000009,2026-01-25 21:36:03,CUST000249,PROD00043,CH001,128.44,USD,Credit Card,completed
TXN00000010,2025-09-11 21:36:03,CUST000654,PROD00027,CH004,130.01,USD,Debit Card,completed
TXN00000011,2025-09-14 21:36:03,CUST000736,PROD00022,CH005,43.84,USD,Bank Transfer,completed
TXN00000012,2025-08-22 21:36:03,CUST000261,PROD00014,CH002,360.39,USD,Bank Transfer,completed
TXN00000013,2025-12-09 21:36:03,CUST000220,PROD00041,CH003,110.39,USD,Bank Transfer,completed
TXN00000014,2025-08-11 21:36:03,CUST000450,PROD00050,CH002,286.75,USD,PayPal,completed
TXN00000015,2025-10-19 21:36:03,CUST000425,PROD00048,CH001,212.16,USD,Bank Transfer,pending
TXN00000016,2025-09-21 21:36:03,CUST000007,PROD00013,CH004,351.81,USD,Credit Card,completed
TXN00000017,2025-09-14 21:36:03,CUST000473,PROD00005,CH005,49.87,USD,PayPal,cancelled
TXN00000018,2025-11-05 21:36:03,CUST000356,PROD00045,CH004,418.97,USD,Bank Transfer,completed
TXN00000019,2025-11-10 21:36:03,CUST000830,PROD00029,CH003,474.5,USD,Bank Transfer,completed
TXN00000020,2025-10-08 21:36:03,CUST000965,PROD00021,CH002,78.14,USD,Debit Card,completed
TXN00000021,2026-01-29 21:36:03,CUST000261,PROD00018,CH004,61.16,USD,Credit Card,completed
TXN00000022,2026-01-20 21:36:03,CUST000997,PROD00011,CH001,124.15,USD,Credit Card,completed
TXN00000023,2025-11-12 21:36:03,CUST000944,PROD00024,CH002,432.97,USD,Bank Transfer,completed
TXN00000024,2026-01-17 21:36:03,CUST000095,PROD00048,CH004,211.8,USD,Debit Card,completed
TXN00000025,2025-12-12 21:36:03,CUST000271,PROD00050,CH001,304.76,USD,PayPal,completed
TXN00000026,2025-08-31 21:36:03,CUST000424,PROD00009,CH003,115.91,USD,Credit Card,completed
TXN00000027,2025-09-30 21:36:03,CUST000460,PROD00009,CH004,116.05,USD,Bank Transfer,completed
TXN00000028,2025-08-18 21:36:03,CUST000099,PROD00036,CH005,101.82,USD,PayPal,completed
TXN00000029,2025-12-29 21:36:03,CUST000405,PROD00047,CH001,210.31,USD,Debit Card,completed
TXN00000030,2025-08-11 21:36:03,CUST000499,PROD00015,CH004,159.65,USD,Debit Card,cancelled
TXN00000031,2025-11-16 21:36:03,CUST000012,PROD00044,CH001,496.68,USD,PayPal,completed
TXN00000032,2025-12-29 21:36:03,CUST000662,PROD00019,CH003,289.96,USD,Bank Transfer,completed
TXN00000033,2025-12-23 21:36:03,CUST000171,PROD00012,CH003,141.39,USD,Debit Card,pending
TXN00000034,2026-01-30 21:36:03,CUST000046,PROD00001,CH002,67.44,USD,PayPal,completed
TXN00000035,2025-09-01 21:36:03,CUST000110,PROD00002,CH002,142.94,USD,Credit Card,completed
TXN00000036,2026-01-08 21:36:03,CUST000819,PROD00017,CH005,63.31,USD,Bank Transfer,pending
TXN00000037,2025-10-29 21:36:03,CUST000903,PROD00022,CH001,44.04,USD,PayPal,cancelled
TXN00000038,2025-11-30 21:36:03,CUST000073,PROD00030,CH002,145.94,USD,PayPal,completed
TXN00000039,2025-11-11 21:36:03,CUST000115,PROD00007,CH005,115.53,USD,Bank Transfer,completed
TXN00000040,2026-01-12 21:36:03,CUST000909,PROD00018,CH002,55.04,USD,Debit Card,completed
TXN00000041,2025-08-25 21:36:03,CUST000776,PROD00042,CH004,370.66,USD,Debit Card,completed
TXN00000042,2026-01-16 21:36:03,CUST000810,PROD00029,CH003,404.53,USD,Bank Transfer,completed
TXN00000043,2025-11-07 21:36:03,CUST000305,PROD00027,CH003,112.1,USD,Credit Card,completed
TXN00000044,2025-11-28 21:36:03,CUST000866,PROD00028,CH005,478.95,USD,PayPal,completed
TXN00000045,2025-09-09 21:36:03,CUST000619,PROD00022,CH002,44.6,USD,Bank Transfer,completed
TXN00000046,2025-12-27 21:36:03,CUST000618,PROD00045,CH004,444.23,USD,Bank Transfer,completed
TXN00000047,2025-08-13 21:36:03,CUST000135,PROD00031,CH005,384.34,USD,Credit Card,completed
TXN00000048,2026-01-07 21:36:03,CUST000341,PROD00039,CH003,366.95,USD,Bank Transfer,completed
TXN00000049,2025-10-20 21:36:03,CUST000592,PROD00017,CH005,59.04,USD,Credit Card,completed
TXN00000050,2025-12-28 21:36:03,CUST000424,PROD00006,CH001,27.64,USD,Debit Card,completed
